scraped_at_utc,scraped_at_npt,npt_date,npt_time,scraped_epoch,weekday,hour_utc,hour_npt,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-04-13T05:15:20+00:00,2026-04-13T11:00:20+05:45,2026-04-13,11:00:20,1776057320,0,5,11,OPEN,,,,,,,,,,
2026-04-13T05:45:20+00:00,2026-04-13T11:30:20+05:45,2026-04-13,11:30:20,1776059120,0,5,11,OPEN,,,,,,,,,,
2026-04-13T06:15:21+00:00,2026-04-13T12:00:21+05:45,2026-04-13,12:00:21,1776060921,0,6,12,OPEN,,,,,,,,,,
2026-04-13T06:45:21+00:00,2026-04-13T12:30:21+05:45,2026-04-13,12:30:21,1776062721,0,6,12,OPEN,,,,,,,,,,
2026-04-13T07:15:22+00:00,2026-04-13T13:00:22+05:45,2026-04-13,13:00:22,1776064522,0,7,13,OPEN,,,,,,,,,,
2026-04-13T07:45:23+00:00,2026-04-13T13:30:23+05:45,2026-04-13,13:30:23,1776066323,0,7,13,OPEN,,,,,,,,,,
2026-04-13T08:15:22+00:00,2026-04-13T14:00:22+05:45,2026-04-13,14:00:22,1776068122,0,8,14,OPEN,,,,,,,,,,
2026-04-13T08:45:19+00:00,2026-04-13T14:30:19+05:45,2026-04-13,14:30:19,1776069919,0,8,14,OPEN,,,,,,,,,,
2026-04-13T09:15:21+00:00,2026-04-13T15:00:21+05:45,2026-04-13,15:00:21,1776071721,0,9,15,CLOSE,,,,,,,,,,
2026-04-14T05:15:20+00:00,2026-04-14T11:00:20+05:45,2026-04-14,11:00:20,1776143720,1,5,11,CLOSE,,,,,,,,,,
