scraped_at_utc,is_market_open,as_of_date,total_turnover,total_traded_shares,total_transactions,total_trades,total_market_cap,floated_market_cap,nepse_index,nepse_point_change,nepse_percentage_change
2026-03-28T16:39:15+00:00,CLOSE,,,,,,,,,,
2026-03-28T16:50:12+00:00,1774716612,5,16,CLOSE,,,,,,,,,,
2026-03-28T17:32:23+00:00,1774719143,5,17,CLOSE,,,,,,,,,,
2026-03-29T04:39:32+00:00,1774759172,6,4,CLOSE,,,,,,,,,,
2026-03-29T05:48:43+00:00,1774763323,6,5,OPEN,,,,,,,,,,
2026-03-29T07:45:19+00:00,1774770319,6,7,OPEN,,,,,,,,,,
2026-03-29T07:57:48+00:00,1774771068,6,7,OPEN,,,,,,,,,,
2026-03-29T08:15:23+00:00,1774772123,6,8,OPEN,,,,,,,,,,
2026-03-29T08:45:28+00:00,1774773928,6,8,OPEN,,,,,,,,,,
2026-03-29T09:15:26+00:00,1774775726,6,9,CLOSE,,,,,,,,,,
2026-03-30T05:15:32+00:00,1774847732,0,5,OPEN,,,,,,,,,,
2026-03-30T05:45:25+00:00,1774849525,0,5,OPEN,,,,,,,,,,
2026-03-30T06:15:23+00:00,1774851323,0,6,OPEN,,,,,,,,,,
2026-03-30T06:45:20+00:00,1774853120,0,6,OPEN,,,,,,,,,,
2026-03-30T07:15:22+00:00,1774854922,0,7,OPEN,,,,,,,,,,
